fecha_referencia,fecha_efectiva,ticker,ranking
2019-11-15,2019-12-31,ENELAM.SN,1
2019-11-15,2019-12-31,CHILE.SN,2
2019-11-15,2019-12-31,FALABELLA.SN,3
2019-11-15,2019-12-31,BSANTANDER.SN,4
2019-11-15,2019-12-31,COPEC.SN,5
2019-11-15,2019-12-31,SQM-B.SN,6
2019-11-15,2019-12-31,CMPC.SN,7
2019-11-15,2019-12-31,CENCOSUD.SN,8
2019-11-15,2019-12-31,LTM.SN,9
2019-11-15,2019-12-31,ENELCHILE.SN,10
2019-11-15,2019-12-31,BCI.SN,11
2019-11-15,2019-12-31,AGUAS-A.SN,12
2019-11-15,2019-12-31,CCU.SN,13
2019-11-15,2019-12-31,ITAUCL.SN,14
2019-11-15,2019-12-31,COLBUN.SN,15
2020-02-21,2020-03-20,ENELAM.SN,1
2020-02-21,2020-03-20,CHILE.SN,2
2020-02-21,2020-03-20,FALABELLA.SN,3
2020-02-21,2020-03-20,ENELCHILE.SN,4
2020-02-21,2020-03-20,SQM-B.SN,5
2020-02-21,2020-03-20,BSANTANDER.SN,6
2020-02-21,2020-03-20,COPEC.SN,7
2020-02-21,2020-03-20,LTM.SN,8
2020-02-21,2020-03-20,CMPC.SN,9
2020-02-21,2020-03-20,CENCOSUD.SN,10
2020-02-21,2020-03-20,BCI.SN,11
2020-02-21,2020-03-20,AGUAS-A.SN,12
2020-02-21,2020-03-20,CCU.SN,13
2020-02-21,2020-03-20,COLBUN.SN,14
2020-02-21,2020-03-20,ITAUCL.SN,17
2020-05-15,2020-06-19,ENELAM.SN,1
2020-05-15,2020-06-19,CHILE.SN,2
2020-05-15,2020-06-19,ENELCHILE.SN,3
2020-05-15,2020-06-19,FALABELLA.SN,4
2020-05-15,2020-06-19,SQM-B.SN,5
2020-05-15,2020-06-19,COPEC.SN,6
2020-05-15,2020-06-19,BSANTANDER.SN,7
2020-05-15,2020-06-19,CMPC.SN,8
2020-05-15,2020-06-19,LTM.SN,9
2020-05-15,2020-06-19,CENCOSUD.SN,10
2020-05-15,2020-06-19,BCI.SN,11
2020-05-15,2020-06-19,AGUAS-A.SN,12
2020-05-15,2020-06-19,CCU.SN,13
2020-05-15,2020-06-19,COLBUN.SN,14
2020-05-15,2020-06-19,ITAUCL.SN,18
2020-08-21,2020-09-18,ENELAM.SN,1
2020-08-21,2020-09-18,CHILE.SN,2
2020-08-21,2020-09-18,FALABELLA.SN,3
2020-08-21,2020-09-18,COPEC.SN,4
2020-08-21,2020-09-18,SQM-B.SN,5
2020-08-21,2020-09-18,ENELCHILE.SN,6
2020-08-21,2020-09-18,CENCOSUD.SN,7
2020-08-21,2020-09-18,BSANTANDER.SN,8
2020-08-21,2020-09-18,CMPC.SN,9
2020-08-21,2020-09-18,BCI.SN,10
2020-08-21,2020-09-18,AGUAS-A.SN,11
2020-08-21,2020-09-18,CCU.SN,12
2020-08-21,2020-09-18,LTM.SN,13
2020-08-21,2020-09-18,COLBUN.SN,14
2020-08-21,2020-09-18,ITAUCL.SN,18
2020-11-20,2020-12-18,ENELAM.SN,1
2020-11-20,2020-12-18,FALABELLA.SN,2
2020-11-20,2020-12-18,CHILE.SN,3
2020-11-20,2020-12-18,SQM-B.SN,4
2020-11-20,2020-12-18,CENCOSUD.SN,5
2020-11-20,2020-12-18,COPEC.SN,6
2020-11-20,2020-12-18,BSANTANDER.SN,7
2020-11-20,2020-12-18,ENELCHILE.SN,8
2020-11-20,2020-12-18,CMPC.SN,9
2020-11-20,2020-12-18,BCI.SN,10
2020-11-20,2020-12-18,AGUAS-A.SN,11
2020-11-20,2020-12-18,COLBUN.SN,12
2020-11-20,2020-12-18,CCU.SN,14
2020-11-20,2020-12-18,ANDINA-B.SN,13
2020-11-20,2020-12-18,ENTEL.SN,15
2021-02-19,2021-03-19,ENELAM.SN,1
2021-02-19,2021-03-19,SQM-B.SN,2
2021-02-19,2021-03-19,CHILE.SN,3
2021-02-19,2021-03-19,FALABELLA.SN,4
2021-02-19,2021-03-19,CENCOSUD.SN,5
2021-02-19,2021-03-19,COPEC.SN,6
2021-02-19,2021-03-19,BSANTANDER.SN,7
2021-02-19,2021-03-19,CMPC.SN,8
2021-02-19,2021-03-19,ENELCHILE.SN,9
2021-02-19,2021-03-19,BCI.SN,10
2021-02-19,2021-03-19,AGUAS-A.SN,11
2021-02-19,2021-03-19,COLBUN.SN,12
2021-02-19,2021-03-19,ANDINA-B.SN,13
2021-02-19,2021-03-19,CCU.SN,14
2021-02-19,2021-03-19,ENTEL.SN,15
2021-05-20,2021-06-18,SQM-B.SN,1
2021-05-20,2021-06-18,ENELAM.SN,2
2021-05-20,2021-06-18,CHILE.SN,3
2021-05-20,2021-06-18,FALABELLA.SN,4
2021-05-20,2021-06-18,COPEC.SN,5
2021-05-20,2021-06-18,CENCOSUD.SN,6
2021-05-20,2021-06-18,BSANTANDER.SN,7
2021-05-20,2021-06-18,CMPC.SN,8
2021-05-20,2021-06-18,ENELCHILE.SN,9
2021-05-20,2021-06-18,BCI.SN,10
2021-05-20,2021-06-18,ANDINA-B.SN,11
2021-05-20,2021-06-18,CAP.SN,12
2021-05-20,2021-06-18,COLBUN.SN,13
2021-05-20,2021-06-18,CCU.SN,14
2021-05-20,2021-06-18,AGUAS-A.SN,15
2021-08-20,2021-09-17,SQM-B.SN,1
2021-08-20,2021-09-17,FALABELLA.SN,2
2021-08-20,2021-09-17,ENELAM.SN,3
2021-08-20,2021-09-17,CHILE.SN,4
2021-08-20,2021-09-17,COPEC.SN,5
2021-08-20,2021-09-17,CENCOSUD.SN,6
2021-08-20,2021-09-17,BSANTANDER.SN,7
2021-08-20,2021-09-17,CMPC.SN,8
2021-08-20,2021-09-17,BCI.SN,9
2021-08-20,2021-09-17,ENELCHILE.SN,10
2021-08-20,2021-09-17,CCU.SN,11
2021-08-20,2021-09-17,ANDINA-B.SN,12
2021-08-20,2021-09-17,CAP.SN,13
2021-08-20,2021-09-17,COLBUN.SN,15
2021-08-20,2021-09-17,AGUAS-A.SN,16
2021-11-19,2021-12-17,SQM-A.SN,1
2021-11-19,2021-12-17,FALABELLA.SN,2
2021-11-19,2021-12-17,CHILE.SN,3
2021-11-19,2021-12-17,CENCOSUD.SN,4
2021-11-19,2021-12-17,COPEC.SN,5
2021-11-19,2021-12-17,BSANTANDER.SN,6
2021-11-19,2021-12-17,ENELAM.SN,7
2021-11-19,2021-12-17,CMPC.SN,8
2021-11-19,2021-12-17,VAPORES.SN,9
2021-11-19,2021-12-17,BCI.SN,10
2021-11-19,2021-12-17,CAP.SN,11
2021-11-19,2021-12-17,ENELCHILE.SN,12
2021-11-19,2021-12-17,CCU.SN,13
2021-11-19,2021-12-17,COLBUN.SN,14
2021-11-19,2021-12-17,ANDINA-B.SN,15
2022-02-18,2022-03-18,SQM-A.SN,1
2022-02-18,2022-03-18,FALABELLA.SN,2
2022-02-18,2022-03-18,CHILE.SN,3
2022-02-18,2022-03-18,CENCOSUD.SN,4
2022-02-18,2022-03-18,COPEC.SN,5
2022-02-18,2022-03-18,ENELAM.SN,6
2022-02-18,2022-03-18,BSANTANDER.SN,7
2022-02-18,2022-03-18,CMPC.SN,8
2022-02-18,2022-03-18,VAPORES.SN,9
2022-02-18,2022-03-18,BCI.SN,10
2022-02-18,2022-03-18,ENELCHILE.SN,11
2022-02-18,2022-03-18,CAP.SN,12
2022-02-18,2022-03-18,COLBUN.SN,13
2022-02-18,2022-03-18,CCU.SN,14
2022-02-18,2022-03-18,ANDINA-B.SN,16
2022-05-20,2022-06-17,SQM-B.SN,1
2022-05-20,2022-06-17,CHILE.SN,2
2022-05-20,2022-06-17,FALABELLA.SN,3
2022-05-20,2022-06-17,CENCOSUD.SN,4
2022-05-20,2022-06-17,ENELAM.SN,5
2022-05-20,2022-06-17,BSANTANDER.SN,6
2022-05-20,2022-06-17,COPEC.SN,7
2022-05-20,2022-06-17,VAPORES.SN,8
2022-05-20,2022-06-17,CMPC.SN,9
2022-05-20,2022-06-17,BCI.SN,10
2022-05-20,2022-06-17,ENELCHILE.SN,11
2022-05-20,2022-06-17,CAP.SN,12
2022-05-20,2022-06-17,CCU.SN,13
2022-05-20,2022-06-17,COLBUN.SN,14
2022-05-20,2022-06-17,ANDINA-B.SN,15
2022-08-19,2022-09-16,SQM-B.SN,1
2022-08-19,2022-09-16,CHILE.SN,2
2022-08-19,2022-09-16,FALABELLA.SN,3
2022-08-19,2022-09-16,CENCOSUD.SN,4
2022-08-19,2022-09-16,BSANTANDER.SN,5
2022-08-19,2022-09-16,ENELAM.SN,6
2022-08-19,2022-09-16,COPEC.SN,7
2022-08-19,2022-09-16,VAPORES.SN,8
2022-08-19,2022-09-16,CMPC.SN,9
2022-08-19,2022-09-16,BCI.SN,10
2022-08-19,2022-09-16,ENELCHILE.SN,11
2022-08-19,2022-09-16,CCU.SN,12
