fecha_referencia,fecha_efectiva,elegibles,componentes,entran,salen
2019-11-15,2019-12-31,49,15,(composición inicial),
2020-02-21,2020-03-20,44,15,,
2020-05-15,2020-06-19,51,15,,
2020-08-21,2020-09-18,53,15,,
2020-11-20,2020-12-18,46,15,"ANDINA-B, ENTEL","ITAUCL, LTM"
2021-02-19,2021-03-19,54,15,,
2021-05-20,2021-06-18,60,15,CAP,ENTEL
2021-08-20,2021-09-17,63,15,,
2021-11-19,2021-12-17,57,15,"SQM-A, VAPORES","AGUAS-A, SQM-B"
2022-02-18,2022-03-18,52,15,,
2022-05-20,2022-06-17,55,15,SQM-B,SQM-A
2022-08-19,2022-09-16,48,15,,
2022-11-18,2022-12-16,50,15,,
2023-02-17,2023-03-17,55,15,,
2023-05-19,2023-06-16,55,15,,
2023-08-18,2023-09-15,59,15,LTM,CAP
2023-11-17,2023-12-15,54,15,,
2024-02-16,2024-03-15,56,15,,
2024-05-17,2024-06-21,59,15,,
2024-08-16,2024-09-20,60,15,,
2024-11-15,2024-12-20,55,15,,
2025-02-21,2025-03-21,60,15,,
2025-05-16,2025-06-20,63,15,MALLPLAZA,COLBUN
2025-08-14,2025-09-19,65,15,,
2025-11-21,2025-12-19,68,15,,
2026-02-20,2026-03-20,71,15,,
2026-05-15,2026-06-19,69,15,,
