simbolo,nombre,decision,motivo,grupo_empresa
AAISA.SN,Administradora Americana de Inversiones S.A.,Candidata,,AAISA
ABC.SN,abc S.A.,Candidata,,ABC
AGUAS-A.SN,Aguas Andinas S.A.,Candidata,,AGUAS-A
ALMENDRAL.SN,Almendral S.A.,Candidata,,ALMENDRAL
ANDINA-A.SN,Embotelladora Andina S.A.,Candidata,,ANDINA
ANDINA-B.SN,Embotelladora Andina S.A.,Candidata,,ANDINA
ANTARCHILE.SN,AntarChile S.A.,Candidata,,ANTARCHILE
BANVIDA.SN,Banvida S.A.,Candidata,,BANVIDA
BCI.SN,Banco de Crédito e Inversiones,Candidata,,BCI
BESALCO.SN,Besalco S.A.,Candidata,,BESALCO
BICE.SN,Bicecorp S.A.,Candidata,,BICE
BSANTANDER.SN,Banco Santander-Chile,Candidata,,BSANTANDER
CAMANCHACA.SN,Camanchaca S.A.,Candidata,,CAMANCHACA
CAP.SN,CAP S.A.,Candidata,,CAP
CAROZZI.SN,Carozzi S.A.,Candidata,,CAROZZI
CCU.SN,Compañía Cervecerías Unidas S.A.,Candidata,,CCU
CENCOMALLS.SN,Cencosud Shopping S.A.,Candidata,,CENCOMALLS
CENCOSUD.SN,Cencosud S.A.,Candidata,,CENCOSUD
CGE.SN,Compañía General de Electricidad S.A.,Candidata,,CGE
CGET.SN,CGE Transmisión S.A.,Candidata,,CGET
CHILE.SN,Banco de Chile,Candidata,,CHILE
CINTAC.SN,Cintac S.A.,Candidata,,CINTAC
CMPC.SN,Empresas CMPC S.A.,Candidata,,CMPC
COLBUN.SN,Colbún S.A.,Candidata,,COLBUN
CONCHATORO.SN,Viña Concha y Toro S.A.,Candidata,,CONCHATORO
COPEC.SN,Empresas Copec S.A.,Candidata,,COPEC
DUNCANFOX.SN,Duncan Fox S.A.,Candidata,,DUNCANFOX
ECL.SN,Engie Energia Chile S.A.,Candidata,,ECL
EDELMAG.SN,Empresa Eléctrica de Magallanes S.A.,Candidata,,EDELMAG
EISA.SN,Echeverría Izquierdo S.A.,Candidata,,EISA
ELECMETAL.SN,Compañía Electro Metalúrgica S.A.,Candidata,,ELECMETAL
EMBONOR-B.SN,Coca-Cola Embonor S.A.,Candidata,,EMBONOR-B
ENAEX.SN,Enaex S.A.,Candidata,,ENAEX
ENELAM.SN,Enel Américas S.A.,Candidata,,ENELAM
ENELCHILE.SN,Enel Chile S.A.,Candidata,,ENELCHILE
ENELGXCH.SN,Enel Generación Chile S.A.,Candidata,,ENELGXCH
ENLASA.SN,Energía Latina S.A.,Candidata,,ENLASA
ENTEL.SN,Empresa Nacional de Telecomunicaciones S.A.,Candidata,,ENTEL
FALABELLA.SN,Falabella S.A.,Candidata,,FALABELLA
FORUS.SN,Forus S.A.,Candidata,,FORUS
GASCO.SN,Empresas Gasco S.A.,Candidata,,GASCO
GASCOINV.SN,Gasco Inversiones S.A.,Candidata,,GASCOINV
HIPERMARC.SN,Hipermarc S.A.,Candidata,,HIPERMARC
HITES.SN,Empresas Hites S.A.,Candidata,,HITES
IAM.SN,Inversiones Aguas Metropolitanas S.A.,Candidata,,IAM
ILC.SN,Inversiones La Construcción S.A.,Candidata,,ILC
INDISA.SN,Instituto de Diagnóstico S.A.,Candidata,,INDISA
INGEVEC.SN,Ingevec S.A.,Candidata,,INGEVEC
INVERCAP.SN,Invercap S.A.,Candidata,,INVERCAP
ITAUCL.SN,Banco Itaú Chile,Candidata,,ITAUCL
LAS-CONDES.SN,Clínica Las Condes S.A.,Candidata,,LAS-CONDES
LIPIGAS.SN,Empresas Lipigas S.A.,Candidata,,LIPIGAS
LTM.SN,LATAM Airlines Group S.A.,Candidata,,LTM
MALLPLAZA.SN,Plaza S.A.,Candidata,,MALLPLAZA
MANQUEHUE.SN,Inmobiliaria Manquehue S.A.,Candidata,,MANQUEHUE
MARBELLACC.SN,Marbella Country Club S.A.,Candidata,,MARBELLACC
MASISA.SN,Masisa S.A.,Candidata,,MASISA
MINERA.SN,Minera Valparaiso S.A.,Candidata,,MINERA
MOLLER.SN,Empresa Constructora Moller y Pérez Cotapos S.A.,Candidata,,MOLLER
MOLYMET.SN,Molibdenos y Metales S.A.,Candidata,,MOLYMET
MULTI-X.SN,Multiexport Foods S.A.,Candidata,,MULTI-X
NAVIERA.SN,Grupo Empresas Navieras S.A.,Candidata,,NAVIERA
NTGCLGAS.SN,Naturgy Chile Gas Natural S.A.,Candidata,,NTGCLGAS
NUAM.SN,Nuam S.A.,Candidata,,NUAM
PAMPA.SN,Pampa Investments S.A.,Candidata,,PAMPA
PARAUCO.SN,Parque Arauco S.A.,Candidata,,PARAUCO
PASUR.SN,Forestal Constructora y Comercial del Pacifico Sur SA,Candidata,,PASUR
PAZ.SN,Paz Corp S.A.,Candidata,,PAZ
PEHUENCHE.SN,Empresa Eléctrica Pehuenche S.A.,Candidata,,PEHUENCHE
POTASIOS-A.SN,Potasios Investments S.A.,Candidata,,POTASIOS-A
PUCOBRE.SN,Sociedad Punta del Cobre S.A.,Candidata,,PUCOBRE
